"Pais","gastosocial","Estabilidad Política","Electoral","Politcial Participation","Politicalculture","Civilliberties","Impuestos","Inversión","Variación","PBIpc","Eficiencia","CalidadReg","ControlCorr","Participacion","Desem","HDI","POB"
"Mauritius",24.77,0.872838,9.17,5.56,8.75,9.41,56.7988413690458,17.388194688988,3.81415211496423,3.72056764808697,0.871139883995056,0.996520400047302,0.317111998796463,0.6429,7.41,0.796,7.9
"Mexico",25.67,-0.572437,7.83,7.22,3.13,6.18,27.2451029390959,22.1285663393589,2.11808234691182,0.936351596149308,-0.157008394598961,0.103679791092873,-0.821080088615417,0.8214,4.313,0.767,43.6
"Moldova",31.56,-0.3490165,6.58,6.11,4.38,7.06,48.5438089907393,22.2876742171844,4.69079342838687,6.47716051900574,NA,NA,NA,NA,3.694,0.711,9.6
"Mongolia",28.74,0.7887995,9.17,5.56,5,7.06,30.9133751799936,24.6422601784557,5.33703793307947,3.39455816231941,-0.194830313324928,-0.0112419845536351,-0.441760748624802,0.6071,4.861,0.735,21.6
"Montenegro",47.69,0.1080209,5.67,6.11,4.38,6.76,NA,NA,NA,NA,0.156257584691048,0.365231484174728,-0.0301262550055981,0.5476,17.544,0.816,24
"Morocco",29.76,-0.3318862,5.25,5.56,5.63,4.41,44.4238148576342,28.6425648727466,4.23485005408639,2.88232634192023,-0.119225241243839,-0.211528360843658,-0.27653631567955,0.5119,9.46,0.676,4.8
"Mozambique",31.16,-0.7836707,2.58,5,5,3.53,30.0043106496494,22.8399775722689,3.74131759312564,0.775389933070514,-0.823289573192596,-0.724764347076416,-0.801014542579651,0.5238,3.426,0.446,46.1
"Namibia",34.02,0.6537775,6.58,6.67,5.63,7.94,21.2718588457431,17.7236243887174,-0.256275905911707,-2.10626103998536,0.0966494902968407,-0.108908258378506,0.372481107711792,0.5,20.882,0.645,17.4
"Nepal",31.92,-0.6251459,4.83,5,5.63,5.59,46.0071839045849,31.4337263818327,8.22349948315457,6.78979819574086,-1.04519999027252,-0.701375126838684,-0.674093842506409,0.369,1.475,0.579,25.2
"Netherlands",41.9,0.8682934,9.58,8.33,8.75,9.12,26.5518108911949,20.1410019156102,2.91090258405885,2.30428480308397,1.79800796508789,1.86107873916626,1.99975752830505,0.9643,NA,NA,NA
